type,EDI_Std_Nomenclature,d,h,b,t,ro,ri,d,A,Ix,Iy,rx,ry,Sx,Sy,Avy,Avx,J,Jstv,Jwarp,Sj,Cw,Zx,Zy,W,Am
HSS,HSS89x64x4.8,88.9,88.9,63.5,4.8,9.6,4.8,69.8,1310,1360000,803000,32.3,24.8,30600,25300,436,724,1680000,10000,1670000,41530,22330000,38000,30100,10.3,0.288
HSS,HSS76x51x7.9,76.2,76.2,50.8,7.9,15.9,7.9,44.4,1600,1020000,527000,25.2,18.1,26700,20700,529,1000,1240000,33700,1206300,35560,14340000,36000,26900,12.6,0.227
HSS,HSS76x51x6.4,76.2,76.2,50.8,6.3,12.7,6.3,50.8,1350,919000,479000,26.1,18.9,24100,18900,433,812,1100000,18100,1081900,31960,13660000,31500,23600,10.6,0.232
HSS,HSS76x51x4.8,76.2,76.2,50.8,4.8,9.6,4.8,57.1,1060,775000,408000,27,19.6,20300,16100,336,623,903000,8100,894900,26870,11760000,25800,19400,8.3,0.238
HSS,HSS76x51x3.2,76.2,76.2,50.8,3.2,6.4,3.2,63.5,741,575000,306000,27.8,20.3,15100,12000,230,421,652000,2500,649500,19940,8700000,18600,14000,5.8,0.243
HSS,HSS76x38x6.4,76.2,76.2,38.1,6.3,12.7,6.3,50.8,1190,722000,232000,24.7,14,18900,12200,277,825,622000,15900,606100,21820,16430000,25900,15600,9.3,0.207
HSS,HSS76x38x4.8,76.2,76.2,38.1,4.8,9.6,4.8,57.1,942,620000,203000,25.6,14.7,16300,10600,217,636,529000,7200,521800,18830,14960000,21400,13000,7.4,0.212
HSS,HSS76x38x3.2,76.2,76.2,38.1,3.2,6.4,3.2,63.5,660,467000,156000,26.6,15.4,12300,8200,149,431,392000,2200,389800,14320,11570000,15600,9580,5.2,0.218
HSS,HSS64x38x6.4,63.5,63.5,38.1,6.3,12.7,6.3,38.1,1030,439000,191000,20.7,13.6,13800,10000,302,671,474000,13800,460200,17520,5410000,18800,13000,8.1,0.181
HSS,HSS64x38x4.8,63.5,63.5,38.1,4.8,9.6,4.8,44.4,821,384000,169000,21.6,14.3,12100,8870,235,518,407000,6300,400700,15280,5070000,15800,11000,6.4,0.187
HSS,HSS64x38x3.2,63.5,63.5,38.1,3.2,6.4,3.2,50.8,580,294000,132000,22.5,15.1,9270,6910,163,352,304000,2000,302000,11730,3980000,11700,8170,4.6,0.192
HSS,HSS51x25x4.8,50.8,50.8,25.4,4.8,9.6,4.8,31.7,578,150000,47600,16.1,9.1,5890,3750,136,410,129000,4400,124600,6780,1440000,8210,4910,4.5,0.136
HSS,HSS51x25x3.2,50.8,50.8,25.4,3.2,6.4,3.2,38.1,418,122000,40000,17.1,9.8,4810,3150,96,281,104000,1400,102600,5570,1310000,6340,3850,3.3,0.141
HSS,HSS559x559x25,558.8,558.8,558.8,25.4,76.2,50.8,406.4,52500,2450000000,2450000000,216,216,8770000,8770000,24795,24795,3940000000,11058100,3928941900,13116410,94565000000,10400000,10400000,412.1,2.15
HSS,HSS559x559x22,558.8,558.8,558.8,22.2,66.7,44.5,425.4,46400,2200000000,2200000000,218,218,7860000,7860000,21623,21623,3500000000,7509400,3492490600,11768370,73866480000,9260000,9260000,364.2,2.16
HSS,HSS559x559x19,558.8,558.8,558.8,19.1,57.2,38.1,444.5,40200,1930000000,1930000000,219,219,6900000,6900000,18394,18394,3050000000,4786600,3045213400,10335590,53838530000,8070000,8070000,315.6,2.17
HSS,HSS559x559x16,558.8,558.8,558.8,15.9,47.6,31.8,463.5,33800,1650000000,1650000000,221,221,5890000,5890000,15291,15291,2580000000,2807700,2577192300,8826080,35887280000,6840000,6840000,265.3,2.18
HSS,HSS508x508x25,508,508,508,25.4,76.2,50.8,355.6,47400,1810000000,1810000000,195,195,7110000,7110000,22790,22790,2920000000,9948200,2910051800,10623090,62538420000,8470000,8470000,372.1,1.94
HSS,HSS508x508x22,508,508,508,22.2,66.7,44.5,374.6,41900,1620000000,1620000000,197,197,6390000,6390000,19622,19622,2600000000,6765300,2593234700,9558250,49890190000,7560000,7560000,328.9,1.96
HSS,HSS508x508x19,508,508,508,19.1,57.2,38.1,393.7,36300,1430000000,1430000000,198,198,5620000,5620000,16798,16798,2270000000,4318300,2265681700,8417460,37071060000,6600000,6600000,285,1.97
HSS,HSS508x508x16,508,508,508,15.9,47.6,31.8,412.7,30600,1220000000,1220000000,200,200,4810000,4810000,13826,13826,1930000000,2536500,1927463500,7206960,25149290000,5610000,5610000,240.2,1.98
HSS,HSS508x508x13,508,508,508,12.7,38.1,25.4,431.8,24700,1000000000,1000000000,201,201,3950000,3950000,10958,10958,1570000000,1315500,1568684500,5918080,14969110000,4570000,4570000,193.9,1.99
HSS,HSS457x457x25,457.2,457.2,457.2,25.4,76.2,50.8,304.8,42200,1280000000,1280000000,174,174,5620000,5620000,20401,20401,2100000000,8838200,2091161800,8391500,38749580000,6740000,6740000,331.3,1.74
HSS,HSS457x457x22,457.2,457.2,457.2,22.2,66.7,44.5,323.8,37400,1160000000,1160000000,176,176,5070000,5070000,17868,17868,1870000000,6021200,1863978800,7577320,31783690000,6030000,6030000,293.6,1.75
HSS,HSS457x457x19,457.2,457.2,457.2,19.1,57.2,38.1,342.9,32500,1020000000,1020000000,178,178,4470000,4470000,15064,15064,1640000000,3850100,1636149900,6695810,24217220000,5280000,5280000,255.1,1.76
